Date,Temperature,Ind,Id
2014-01-10 16:00:00,10,X1,465
2014-01-10 16:30:00,9.72,X1,466
2014-01-10 17:00:00,9.44,X1,467
2014-01-10 17:30:00,9.165,X1,468
2014-01-10 18:00:00,8.89,X1,469
2014-01-10 18:30:00,8.89,X1,470
2014-01-10 19:00:00,8.89,X1,471
2014-01-10 19:30:00,8.61,X1,472
2014-01-10 20:00:00,8.33,X1,473
2014-01-10 20:30:00,8.61,X1,474
2014-01-10 21:00:00,8.89,X1,475
2014-01-10 21:30:00,8.89,X1,476
2014-01-10 22:00:00,8.89,X1,477
2014-01-10 22:30:00,8.61,X1,478
2014-01-10 23:00:00,8.33,X1,479
2014-01-10 23:30:00,8.33,X1,480
2014-01-11 00:00:00,8.33,X1,481
2014-01-11 00:30:00,8.055,X1,482
2014-01-11 01:00:00,7.78,X1,483
2014-01-11 01:30:00,7.78,X1,484
2014-01-11 02:00:00,7.78,X1,485
2014-01-11 02:30:00,8.055,X1,486
2014-01-11 03:00:00,8.33,X1,487
2014-01-11 03:30:00,8.33,X1,488
2014-01-11 04:00:00,8.33,X1,489
2014-01-11 04:30:00,8.61,X1,490
2014-01-11 05:00:00,8.89,X1,491
2014-01-11 05:30:00,8.61,X1,492
2014-01-11 06:00:00,8.33,X1,493
2014-01-11 06:30:00,8.055,X1,494
2014-01-11 07:00:00,7.78,X1,495
2014-01-11 07:30:00,7.78,X1,496
2014-01-11 08:00:00,7.78,X1,497
2014-01-11 08:30:00,7.225,X1,498
2014-01-11 09:00:00,6.67,X1,499
2014-01-11 09:30:00,6.67,X1,500
2014-01-11 10:00:00,6.67,X1,501
2014-01-11 10:30:00,7.5,X1,502
2014-01-11 11:00:00,8.33,X1,503
2014-01-11 11:30:00,8.61,X1,504
2014-01-11 12:00:00,8.89,X1,505
2014-01-11 12:30:00,8.61,X1,506
2014-01-11 13:00:00,8.33,X1,507
2014-01-11 13:30:00,8.055,X1,508
2014-01-11 14:00:00,7.78,X1,509
2014-01-11 14:30:00,7.78,X1,510
2014-01-11 15:00:00,7.78,X1,511
2014-01-11 15:30:00,7.78,X1,512
2014-01-11 16:00:00,7.78,X1,513
2014-01-11 16:30:00,7.225,X1,514
2014-01-11 17:00:00,6.67,X1,515
2014-01-11 17:30:00,6.115,X1,516
2014-01-11 18:00:00,5.56,X1,517
2014-01-11 18:30:00,5,X1,518
2014-01-11 19:00:00,4.44,X1,519
2014-01-11 19:30:00,4.44,X1,520
2014-01-11 20:00:00,4.44,X1,521
2014-01-11 20:30:00,3.61,X1,522
2014-01-11 21:00:00,2.78,X1,523
2014-01-11 21:30:00,2.5,X1,524
2014-01-11 22:00:00,2.22,X1,525
2014-01-11 22:30:00,1.945,X1,526
2014-01-11 23:00:00,1.67,X1,527
2014-01-11 23:30:00,1.67,X1,528
2014-01-12 00:00:00,1.67,X1,529
2014-01-12 00:30:00,1.67,X1,530
2014-01-12 01:00:00,1.67,X1,531
2014-01-12 01:30:00,1.39,X1,532
2014-01-12 02:00:00,1.11,X1,533
2014-01-12 02:30:00,1.11,X1,534
2014-01-12 03:00:00,1.11,X1,535
2014-01-12 03:30:00,1.39,X1,536
2014-01-12 04:00:00,1.67,X1,537
2014-01-12 04:30:00,1.67,X1,538
2014-01-12 05:00:00,1.67,X1,539
2014-01-12 05:30:00,1.67,X1,540
2014-01-12 06:00:00,1.67,X1,541
2014-01-12 06:30:00,1.945,X1,542
2014-01-12 07:00:00,2.22,X1,543
2014-01-12 07:30:00,1.945,X1,544
2014-01-12 08:00:00,1.67,X1,545
2014-01-12 08:30:00,2.225,X1,546
2014-01-12 09:00:00,2.78,X1,547
2014-01-12 09:30:00,3.335,X1,548
2014-01-12 10:00:00,3.89,X1,549
2014-01-12 10:30:00,5.28,X1,550
2014-01-12 11:00:00,6.67,X1,551
2014-01-12 11:30:00,7.225,X1,552
2014-01-12 12:00:00,7.78,X1,553
